Artficial_timestamp,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-05-03 00:00:14,642.88,1587.54,1403.23,21.61,552.82,2388.09,9058.57,47.46,521.6,2388.09,8137.36,8.4549,392,38.8,23.2687
2000-05-04 00:00:14,642.88,1590.81,1411.67,21.61,553.85,2388.11,9055.07,47.43,521.44,2388.07,8141.56,8.4449,393,38.91,23.3892
2000-05-05 00:00:14,642.57,1589.04,1407.39,21.61,553.5,2388.1,9062.75,47.61,521.85,2388.04,8140.02,8.4161,393,38.9,23.1882
2000-05-06 00:00:14,643.18,1593.24,1408.2,21.61,553.41,2388.1,9056.91,47.54,521.17,2388.12,8138.78,8.4396,393,38.87,23.2598
2000-05-07 00:00:14,642.38,1590.53,1407.83,21.61,553.57,2388.12,9057.83,47.54,521.05,2388.09,8142.3,8.4802,393,39.06,23.3189
2000-05-08 00:00:14,642.42,1588.53,1406.54,21.61,553.79,2388.14,9059.66,47.27,521.66,2388.09,8147.72,8.4172,394,38.91,23.3354
2000-05-09 00:00:14,642.47,1591.83,1404.6,21.61,553.38,2388.12,9058.61,47.37,521.67,2388.1,8142.97,8.4311,394,38.88,23.429
2000-05-10 00:00:14,642.26,1595.78,1403.33,21.61,553.65,2388.14,9055.67,47.47,521.33,2388.13,8139.21,8.4473,394,38.83,23.3932
2000-05-11 00:00:14,642.62,1586.54,1408.97,21.61,553.88,2388.07,9061.36,47.26,521.33,2388.07,8142.2,8.438,393,38.63,23.2255
2000-05-12 00:00:14,642.64,1586.29,1413.81,21.61,554.64,2388.1,9061.74,47.17,521.87,2388.12,8138.49,8.4202,394,38.94,23.3552
2000-05-13 00:00:14,642.64,1592.1,1402.62,21.61,553.63,2388.05,9064.29,47.44,521.72,2388.13,8140.28,8.4274,394,38.82,23.2255
2000-05-14 00:00:14,642.3,1592.85,1407.39,21.61,552.55,2388.13,9057.69,47.49,521.84,2388.07,8137.4,8.4021,395,38.93,23.1847
2000-05-15 00:00:14,642.75,1589.15,1409.72,21.61,553.58,2388.16,9059.01,47.8,521.63,2388.09,8141.51,8.4407,394,38.78,23.3103
2000-05-16 00:00:14,642.4,1589.03,1406.46,21.61,553.2,2388.08,9058.77,47.43,521.59,2388.06,8140.28,8.4318,392,38.82,23.2624
2000-05-17 00:00:14,642.84,1586.6,1407.27,21.61,553.38,2388.05,9059.64,47.63,521.63,2388.16,8134.56,8.4218,394,38.95,23.3988
2000-05-18 00:00:14,642.43,1584.07,1405.92,21.61,553.53,2388.12,9052.41,47.54,521.72,2388.07,8138.77,8.4326,395,38.94,23.3217
2000-05-19 00:00:14,642.56,1593.7,1396.55,21.61,552.92,2388.11,9050.59,47.56,521.26,2388.1,8140.49,8.4495,394,38.92,23.2859
