Artficial_timestamp,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-04-07 00:01:20,642.59,1582.7,1402.4,553.91,2388.03,9063.52,47.36,522.24,2388.04,8146.05,8.4054,391,38.89,23.416
2000-04-08 00:01:20,642.05,1588.75,1395.13,553.31,2388.07,9058.07,47.38,521.8,2388.05,8145.45,8.4171,393,39.04,23.3632
2000-04-09 00:01:20,642.19,1581.51,1402.71,554.48,2388.05,9064.51,47.6,521.4,2388.03,8145.34,8.4402,393,39.13,23.3872
2000-04-10 00:01:20,642.75,1591.36,1398.36,554.99,2388.04,9058.16,47.32,521.74,2388.04,8143.76,8.4084,392,38.95,23.3476
2000-04-11 00:01:20,642.67,1584.56,1404.46,554.24,2388.02,9071.25,47.15,522.01,2388.02,8145.14,8.4012,393,38.92,23.4296
2000-04-12 00:01:20,642.52,1591.93,1402.94,553.73,2388.02,9065.69,47.29,521.87,2388.04,8145.11,8.4176,393,38.99,23.3829
2000-04-13 00:01:20,642.36,1586.87,1411.01,552.87,2388.1,9062.94,47.49,521.98,2388.03,8145.51,8.4566,391,38.75,23.4797
2000-04-14 00:01:20,642.68,1590.1,1403.3,554.2,2388.12,9069.1,47.21,521.99,2388.02,8148.45,8.3926,392,39.05,23.3976
2000-04-15 00:01:20,642.0,1591.17,1404.16,553.7,2388.04,9061.48,47.2,521.66,2388.02,8139.78,8.4135,390,38.9,23.3388
2000-04-16 00:01:20,642.42,1592.59,1398.41,553.73,2387.99,9063.04,47.22,521.45,2388.03,8144.04,8.4326,392,39.12,23.3894
2000-04-17 00:01:20,642.11,1588.19,1401.1,553.38,2388.03,9061.15,47.48,521.62,2388.12,8143.12,8.4239,392,38.8,23.4024
2000-04-18 00:01:20,642.34,1586.14,1404.53,554.52,2388.05,9058.16,47.55,521.2,2388.08,8144.01,8.3804,393,38.99,23.2933
2000-04-19 00:01:20,642.65,1588.52,1408.81,553.86,2388.06,9067.16,47.27,521.9,2388.05,8149.2,8.4056,393,38.87,23.3857
2000-04-20 00:01:20,642.2,1587.25,1406.38,553.08,2388.05,9061.35,47.47,522.29,2388.05,8143.02,8.4294,392,38.91,23.493
2000-04-21 00:01:20,642.88,1582.37,1404.9,554.11,2388.05,9067.78,47.22,521.92,2388.05,8140.6,8.4482,393,38.93,23.2773
2000-04-22 00:01:20,641.95,1590.19,1395.84,554.52,2388.07,9061.89,47.51,521.99,2388.02,8140.99,8.4371,393,39.07,23.3945
2000-04-23 00:01:20,642.3,1587.44,1398.91,554.68,2388.04,9069.25,47.3,522.14,2388.03,8142.86,8.4427,393,38.92,23.3137
2000-04-24 00:01:20,642.32,1588.82,1395.84,553.87,2388.01,9075.15,47.48,522.23,2388.05,8141.46,8.4116,393,38.89,23.2825
2000-04-25 00:01:20,642.1,1585.56,1403.83,553.83,2388.07,9062.93,47.28,522.48,2388.03,8139.65,8.4118,392,38.88,23.348
2000-04-26 00:01:20,642.38,1585.34,1405.8,554.02,2388.06,9060.46,47.28,521.66,2388.05,8142.91,8.3595,391,38.83,23.4032
2000-04-27 00:01:20,642.34,1582.9,1400.55,554.45,2388.04,9066.99,47.39,522.1,2388.06,8144.51,8.4176,392,38.93,23.3251
2000-04-28 00:01:20,642.41,1588.98,1403.44,554.02,2388.13,9057.45,47.56,521.94,2388.05,8148.97,8.42,391,39.01,23.3818
2000-04-29 00:01:20,642.07,1589.49,1399.24,554.28,2387.98,9064.05,47.33,521.56,2388.03,8144.07,8.4018,391,38.87,23.411
2000-04-30 00:01:20,642.67,1580.78,1405.15,554.3,2388.07,9063.19,47.4,522.19,2388.01,8145.55,8.4192,392,38.89,23.4033
2000-05-01 00:01:20,641.84,1579.92,1403.81,554.79,2388.05,9061.59,47.36,521.92,2388.06,8142.6,8.3996,391,38.88,23.2949
2000-05-02 00:01:20,642.49,1587.24,1400.71,554.01,2388.02,9061.44,47.32,521.72,2388.06,8144.31,8.4284,391,38.92,23.3003
2000-05-03 00:01:20,642.62,1585.29,1400.39,553.79,2388.05,9070.17,47.25,521.64,2388.0,8142.71,8.4281,393,38.97,23.4025
2000-05-04 00:01:20,642.67,1587.56,1403.07,553.2,2388.05,9061.02,47.39,521.7,2388.06,8141.97,8.4348,392,38.95,23.3587
2000-05-05 00:01:20,642.87,1588.94,1407.18,553.95,2388.06,9056.57,47.34,521.9,2388.05,8146.84,8.4154,390,38.92,23.4272
2000-05-06 00:01:20,642.24,1578.64,1403.38,553.98,2388.01,9068.12,47.35,522.15,2388.04,8142.73,8.4192,392,38.75,23.3465
2000-05-07 00:01:20,642.29,1580.61,1403.48,553.75,2388.02,9063.32,47.34,521.96,2388.0,8145.76,8.4312,393,38.91,23.2056
2000-05-08 00:01:20,641.99,1591.77,1407.45,553.56,2388.03,9061.37,47.37,521.68,2388.08,8140.01,8.4235,393,38.82,23.3817
