Artficial_timestamp,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
2000-06-19 00:03:39,491.19,606.94,1475.7,1241.02,9.35,13.64,335.77,2323.96,8721.53,1.08,44.16,316.61,2388.09,8065.53,9.1631,0.02,365,2324,100.0,24.83,14.688
2000-06-20 00:03:39,518.67,642.34,1586.35,1391.61,14.62,21.6,556.32,2388.04,9063.58,1.3,47.13,524.49,2388.05,8148.39,8.3638,0.03,392,2388,100.0,39.21,23.3893
2000-06-21 00:03:39,491.19,607.18,1483.64,1236.32,9.35,13.63,335.48,2323.89,8727.11,1.08,44.21,316.29,2388.03,8067.07,9.1622,0.02,364,2324,100.0,24.7,14.6861
2000-06-22 00:03:39,491.19,607.07,1477.72,1249.19,9.35,13.63,335.24,2323.96,8721.02,1.08,44.41,316.33,2388.02,8066.6,9.1466,0.02,364,2324,100.0,24.56,14.827
2000-06-23 00:03:39,462.54,537.32,1255.76,1043.31,7.05,9.02,175.26,1915.37,8012.77,0.94,36.36,164.97,2028.36,7875.34,10.849,0.02,306,1915,84.93,14.29,8.6866
2000-06-24 00:03:39,518.67,642.18,1583.31,1392.85,14.62,21.6,555.85,2388.01,9053.57,1.3,47.18,524.17,2388.09,8142.04,8.3459,0.03,392,2388,100.0,39.1,23.5395
2000-06-25 00:03:39,518.67,642.26,1586.23,1405.91,14.62,21.6,556.06,2388.01,9059.96,1.3,47.16,523.83,2388.08,8143.91,8.3891,0.03,391,2388,100.0,39.02,23.4231
2000-06-26 00:03:39,518.67,641.94,1586.25,1407.6,14.62,21.59,555.72,2387.98,9064.79,1.3,47.33,523.67,2388.04,8139.9,8.3733,0.03,393,2388,100.0,39.19,23.4406
2000-06-27 00:03:39,449.44,555.5,1364.29,1116.32,5.48,7.99,195.38,2223.0,8353.41,1.03,41.73,183.47,2388.05,8075.15,9.328,0.02,334,2223,100.0,15.04,9.0241
2000-06-28 00:03:39,445.0,549.27,1351.29,1124.46,3.91,5.71,139.17,2212.04,8328.43,1.03,41.76,130.66,2388.11,8089.19,9.2847,0.02,330,2212,100.0,10.74,6.3204
2000-06-29 00:03:39,445.0,549.14,1358.13,1116.44,3.91,5.7,139.24,2212.03,8327.17,1.02,41.79,131.21,2388.09,8094.09,9.2902,0.02,329,2212,100.0,10.63,6.438
2000-06-30 00:03:39,518.67,642.39,1582.68,1401.02,14.62,21.6,556.72,2387.99,9048.69,1.3,47.38,523.66,2388.08,8143.47,8.3566,0.03,391,2388,100.0,39.18,23.4028
2000-07-01 00:03:39,491.19,606.65,1483.36,1236.87,9.35,13.63,336.13,2323.96,8729.76,1.08,44.45,316.11,2388.06,8070.31,9.1842,0.02,366,2324,100.0,24.77,14.7855
2000-07-02 00:03:39,518.67,642.36,1587.02,1399.79,14.62,21.6,555.74,2388.05,9062.33,1.3,47.1,523.92,2388.02,8145.56,8.3857,0.03,390,2388,100.0,39.01,23.2655
