Artficial_timestamp,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
2000-05-04 00:03:08,445.0,549.7,1348.6,1118.79,3.91,5.71,139.15,2212.01,8328.75,1.02,41.94,130.58,2388.09,8092.08,9.3462,0.02,331,2212,100.0,10.56,6.3755
2000-05-05 00:03:08,518.67,642.12,1592.19,1402.22,14.62,21.61,554.1,2387.98,9057.63,1.3,47.22,522.66,2388.02,8140.55,8.3855,0.03,391,2388,100.0,39.0,23.3556
2000-05-06 00:03:08,462.54,536.47,1251.99,1040.56,7.05,9.03,174.59,1915.42,8012.92,0.94,36.62,164.92,2028.3,7875.29,10.8926,0.02,308,1915,84.93,14.42,8.5721
2000-05-07 00:03:08,518.67,642.56,1588.11,1399.0,14.62,21.61,554.37,2388.06,9060.76,1.3,47.26,522.24,2388.09,8141.05,8.4163,0.03,393,2388,100.0,39.01,23.4862
2000-05-08 00:03:08,489.05,604.36,1499.66,1308.28,10.52,15.49,394.52,2318.92,8787.7,1.26,45.37,371.53,2388.08,8140.63,8.6178,0.03,369,2319,100.0,28.57,17.3203
2000-05-09 00:03:08,491.19,607.02,1487.42,1239.97,9.35,13.65,334.86,2323.98,8733.53,1.08,44.1,315.21,2388.12,8061.01,9.232,0.02,365,2324,100.0,24.64,14.7626
2000-05-10 00:03:08,489.05,604.89,1498.81,1301.02,10.52,15.49,395.31,2318.92,8778.06,1.26,45.27,371.78,2388.1,8128.39,8.6391,0.03,368,2319,100.0,28.47,17.1823
2000-05-11 00:03:08,489.05,604.27,1494.71,1309.19,10.52,15.49,395.5,2318.86,8785.15,1.26,45.25,371.83,2388.13,8136.57,8.6429,0.03,369,2319,100.0,28.63,17.0964
2000-05-12 00:03:08,462.54,536.75,1261.25,1049.31,7.05,9.03,175.66,1915.42,8019.63,0.94,36.61,165.08,2028.31,7877.43,10.8958,0.02,307,1915,84.93,14.32,8.5883
2000-05-13 00:03:08,445.0,548.94,1351.22,1123.31,3.91,5.71,138.9,2211.95,8323.57,1.02,42.04,130.02,2388.05,8089.4,9.3585,0.02,331,2212,100.0,10.64,6.3457
2000-05-14 00:03:08,449.44,555.72,1369.3,1120.49,5.48,8.0,194.39,2223.07,8356.39,1.02,41.75,183.21,2388.13,8068.99,9.3068,0.02,333,2223,100.0,14.87,8.8349
2000-05-15 00:03:08,518.67,642.04,1587.31,1392.29,14.62,21.61,554.28,2388.06,9055.74,1.3,47.42,521.9,2387.98,8136.4,8.4,0.03,392,2388,100.0,39.2,23.3089
2000-05-16 00:03:08,491.19,606.89,1481.03,1242.74,9.35,13.65,335.9,2324.0,8732.85,1.08,44.16,315.0,2388.07,8062.34,9.2143,0.02,366,2324,100.0,24.57,14.6784
2000-05-17 00:03:08,489.05,604.77,1500.02,1307.38,10.52,15.49,394.84,2318.85,8778.02,1.26,45.29,372.23,2388.05,8132.11,8.6621,0.03,367,2319,100.0,28.51,17.1415
2000-05-18 00:03:08,445.0,548.81,1349.2,1116.87,3.91,5.72,138.79,2212.0,8323.94,1.02,41.87,130.56,2388.15,8091.97,9.355,0.02,329,2212,100.0,10.91,6.4097
2000-05-19 00:03:08,518.67,642.8,1583.69,1401.84,14.62,21.61,554.25,2388.01,9066.02,1.3,47.19,522.0,2388.04,8144.96,8.4176,0.03,392,2388,100.0,38.96,23.4094
2000-05-20 00:03:08,445.0,548.94,1354.46,1119.44,3.91,5.72,139.03,2211.98,8325.45,1.02,42.09,131.23,2388.07,8093.35,9.3295,0.02,331,2212,100.0,10.57,6.3656
2000-05-21 00:03:08,489.05,604.38,1497.35,1304.61,10.52,15.49,394.6,2318.91,8778.03,1.26,45.26,371.77,2388.05,8131.34,8.6157,0.03,370,2319,100.0,28.55,17.1154
2000-05-22 00:03:08,449.44,554.86,1362.02,1120.66,5.48,8.0,194.29,2222.96,8347.62,1.02,41.71,183.39,2388.11,8071.16,9.3046,0.02,332,2223,100.0,14.93,8.9249
2000-05-23 00:03:08,489.05,604.48,1498.07,1305.39,10.52,15.49,394.42,2318.93,8774.71,1.26,45.12,371.87,2388.06,8135.6,8.6378,0.03,367,2319,100.0,28.52,17.1069
2000-05-24 00:03:08,518.67,641.89,1584.69,1406.01,14.62,21.61,553.5,2388.01,9067.17,1.3,47.25,522.31,2388.1,8134.77,8.4064,0.03,394,2388,100.0,38.98,23.3617
2000-05-25 00:03:08,445.0,549.66,1356.39,1120.88,3.91,5.72,138.73,2212.01,8325.69,1.02,41.97,130.5,2388.15,8090.2,9.2987,0.02,330,2212,100.0,10.51,6.4511
2000-05-26 00:03:08,445.0,549.12,1352.67,1119.22,3.91,5.71,138.31,2211.98,8317.56,1.02,41.82,130.67,2388.04,8086.64,9.3094,0.02,330,2212,100.0,10.63,6.3893
2000-05-27 00:03:08,518.67,642.5,1593.64,1399.68,14.62,21.61,553.95,2388.02,9056.17,1.3,47.34,522.16,2388.06,8140.18,8.4214,0.03,392,2388,100.0,38.92,23.4736
2000-05-28 00:03:08,491.19,607.31,1481.87,1245.37,9.35,13.65,335.61,2323.94,8717.13,1.08,44.27,315.41,2388.05,8069.27,9.1807,0.02,364,2324,100.0,24.62,14.7707
2000-05-29 00:03:08,462.54,536.28,1261.65,1037.23,7.05,9.02,176.13,1915.39,8006.31,0.94,36.67,164.99,2028.27,7877.95,10.8908,0.02,308,1915,84.93,14.53,8.546
2000-05-30 00:03:08,489.05,604.6,1498.15,1305.09,10.52,15.49,395.0,2318.89,8785.07,1.26,45.29,371.98,2388.07,8129.6,8.6685,0.03,369,2319,100.0,28.67,17.1211
2000-05-31 00:03:08,489.05,604.48,1495.75,1310.2,10.52,15.49,394.84,2318.85,8777.75,1.26,45.21,371.79,2388.11,8133.76,8.6032,0.03,369,2319,100.0,28.56,17.1436
2000-06-01 00:03:08,449.44,555.04,1367.37,1131.34,5.48,8.0,194.95,2222.95,8349.58,1.02,41.86,183.2,2388.07,8074.11,9.3143,0.02,334,2223,100.0,14.98,8.9568
2000-06-02 00:03:08,445.0,548.86,1350.11,1123.06,3.91,5.72,138.83,2211.96,8323.67,1.02,41.92,130.79,2388.06,8087.89,9.3338,0.02,331,2212,100.0,10.48,6.4603
2000-06-03 00:03:08,445.0,549.34,1352.38,1118.12,3.91,5.72,138.45,2211.95,8321.56,1.02,42.1,130.6,2388.07,8091.71,9.3645,0.02,330,2212,100.0,10.58,6.3821
2000-06-04 00:03:08,445.0,549.95,1354.87,1116.41,3.91,5.71,138.34,2211.92,8324.95,1.02,42.18,130.69,2388.04,8091.11,9.3561,0.02,333,2212,100.0,10.59,6.3268
2000-06-05 00:03:08,489.05,604.47,1497.36,1304.25,10.52,15.49,395.04,2318.92,8786.37,1.26,45.37,372.2,2388.06,8135.91,8.5996,0.03,368,2319,100.0,28.61,17.2372
2000-06-06 00:03:08,445.0,549.61,1350.51,1115.44,3.91,5.71,138.7,2211.97,8322.63,1.02,41.88,130.65,2387.99,8086.05,9.3298,0.02,330,2212,100.0,10.51,6.4273
2000-06-07 00:03:08,445.0,549.71,1353.93,1122.87,3.91,5.72,138.62,2211.99,8323.41,1.02,42.01,130.6,2388.03,8088.64,9.3739,0.02,329,2212,100.0,10.64,6.2426
2000-06-08 00:03:08,489.05,604.2,1497.72,1307.15,10.52,15.49,394.46,2318.89,8780.28,1.26,45.42,372.15,2388.12,8131.7,8.6063,0.03,368,2319,100.0,28.69,17.2009
2000-06-09 00:03:08,518.67,642.64,1588.4,1397.43,14.62,21.61,554.2,2388.07,9057.47,1.3,47.42,522.16,2388.07,8138.83,8.4093,0.03,394,2388,100.0,39.0,23.3095
2000-06-10 00:03:08,445.0,549.64,1347.4,1120.85,3.91,5.72,139.05,2211.99,8330.56,1.02,42.0,130.7,2388.05,8085.35,9.3273,0.02,330,2212,100.0,10.62,6.3992
2000-06-11 00:03:08,462.54,536.09,1260.17,1049.08,7.05,9.03,175.53,1915.33,8011.93,0.94,36.74,165.23,2028.29,7879.01,10.8876,0.02,308,1915,84.93,14.29,8.6798
2000-06-12 00:03:08,518.67,642.06,1588.16,1403.79,14.62,21.61,554.43,2388.04,9058.51,1.3,47.44,521.43,2388.06,8147.14,8.4134,0.03,393,2388,100.0,39.01,23.4141
2000-06-13 00:03:08,518.67,642.74,1584.48,1412.98,14.62,21.61,554.21,2388.04,9063.31,1.3,47.39,522.05,2388.02,8140.67,8.4512,0.03,392,2388,100.0,39.11,23.4018
2000-06-14 00:03:08,518.67,642.15,1586.13,1400.43,14.62,21.61,554.44,2388.05,9055.15,1.3,47.29,521.8,2388.11,8137.69,8.4195,0.03,392,2388,100.0,38.83,23.3484
2000-06-15 00:03:08,491.19,607.08,1482.89,1252.48,9.35,13.66,334.69,2323.98,8723.07,1.08,44.34,314.82,2388.13,8060.52,9.2186,0.02,364,2324,100.0,24.51,14.6846
2000-06-16 00:03:08,449.44,555.27,1363.46,1116.38,5.48,8.0,194.62,2223.04,8353.64,1.02,41.84,183.49,2388.13,8069.79,9.3305,0.02,332,2223,100.0,14.84,8.8907
2000-06-17 00:03:08,445.0,549.12,1347.85,1116.28,3.91,5.72,138.65,2212.02,8317.13,1.02,41.89,130.85,2388.08,8090.53,9.3366,0.02,330,2212,100.0,10.73,6.325
2000-06-18 00:03:08,462.54,536.82,1255.19,1044.16,7.05,9.03,175.8,1915.41,8016.36,0.94,36.54,164.61,2028.27,7877.58,10.8691,0.02,307,1915,84.93,14.17,8.622
2000-06-19 00:03:08,489.05,604.22,1499.2,1302.01,10.52,15.49,394.54,2318.92,8781.27,1.26,45.45,371.87,2388.05,8134.91,8.6579,0.03,370,2319,100.0,28.66,17.1142
2000-06-20 00:03:08,489.05,604.42,1501.13,1300.8,10.52,15.49,394.92,2318.89,8784.37,1.26,45.38,371.73,2388.1,8131.7,8.6449,0.03,369,2319,100.0,28.51,17.2022
