f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.001 | [[310, 310, 310, 310, 310], [241, 241, 241, 241, 241], [200, 200, 200, 200, 200]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.003 | [[353, 353, 353, 353, 353], [270, 270, 270, 270, 270], [222, 222, 222, 222, 222]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.005 | [[407, 407, 407, 407, 407], [317, 317, 317, 317, 317], [250, 250, 250, 250, 250]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.01 | [[495, 495, 495, 495, 495], [392, 392, 392, 392, 392], [316, 316, 316, 316, 316]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.001 | [[300, 300, 300, 300, 300], [231, 231, 231, 231, 231], [190, 190, 190, 190, 190]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.003 | [[343, 343, 343, 343, 343], [260, 260, 260, 260, 260], [212, 212, 212, 212, 212]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.005 | [[397, 397, 397, 397, 397], [307, 307, 307, 307, 307], [240, 240, 240, 240, 240]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.01 | [[485, 485, 485, 485, 485], [382, 382, 382, 382, 382], [306, 306, 306, 306, 306]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.001 | [[288, 288, 288, 288, 288], [219, 219, 219, 219, 219], [178, 178, 178, 178, 178]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.003 | [[331, 331, 331, 331, 331], [248, 248, 248, 248, 248], [200, 200, 200, 200, 200]] | 
f0001 | 10 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.005 | [[385, 385, 385, 385, 385], [295, 295, 295, 295, 295], [228, 228, 228, 228, 228]] | 
