f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.001 | [[954, 959, 979, 999, 1049], [837, 842, 862, 882, 932], [748, 753, 773, 793, 843]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.003 | [[954, 959, 979, 999, 1049], [837, 842, 862, 882, 932], [748, 753, 773, 793, 843]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.005 | [[954, 959, 979, 999, 1049], [837, 842, 862, 882, 932], [748, 753, 773, 793, 843]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.2 | 0.01 | [[955, 960, 980, 1000, 1050], [838, 843, 863, 883, 933], [749, 754, 774, 794, 844]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.001 | [[899, 904, 924, 944, 994], [782, 787, 807, 827, 877], [694, 699, 719, 739, 789]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.003 | [[899, 904, 924, 944, 994], [782, 787, 807, 827, 877], [694, 699, 719, 739, 789]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.005 | [[899, 904, 924, 944, 994], [782, 787, 807, 827, 877], [694, 699, 719, 739, 789]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.15 | 0.01 | [[900, 905, 925, 945, 995], [783, 788, 808, 828, 878], [695, 700, 720, 740, 790]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.001 | [[801, 806, 826, 846, 896], [684, 689, 709, 729, 779], [599, 604, 624, 644, 694]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.003 | [[801, 806, 826, 846, 896], [684, 689, 709, 729, 779], [599, 604, 624, 644, 694]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.005 | [[801, 806, 826, 846, 896], [684, 689, 709, 729, 779], [599, 604, 624, 644, 694]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.1 | 0.01 | [[802, 807, 827, 847, 897], [685, 690, 710, 730, 780], [600, 605, 625, 645, 695]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.07 | 0.001 | [[684, 689, 709, 729, 779], [570, 575, 595, 615, 665], [487, 492, 512, 532, 582]] | 
f0003 | 10 | knn | 30days | 15 | False | 0.4 | 0.07 | 0.003 | [[684, 689, 709, 729, 779], [570, 575, 595, 615, 665], [487, 492, 512, 532, 582]] | 
