vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.001 | [[1194, 1251, 1536, 2106], [1167, 1220, 1485, 2015], [1134, 1181, 1416, 1886]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.003 | [[1194, 1251, 1536, 2106], [1167, 1220, 1485, 2015], [1134, 1181, 1416, 1886]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.005 | [[1221, 1277, 1557, 2117], [1191, 1242, 1497, 2007], [1157, 1202, 1427, 1877]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.2 | 0.01 | [[1237, 1291, 1561, 2101], [1201, 1248, 1483, 1953], [1166, 1207, 1412, 1822]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.001 | [[1020, 1077, 1362, 1932], [993, 1046, 1311, 1841], [963, 1010, 1245, 1715]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.003 | [[1020, 1077, 1362, 1932], [993, 1046, 1311, 1841], [963, 1010, 1245, 1715]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.005 | [[1047, 1103, 1383, 1943], [1017, 1068, 1323, 1833], [986, 1031, 1256, 1706]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.15 | 0.01 | [[1063, 1117, 1387, 1927], [1027, 1074, 1309, 1779], [995, 1036, 1241, 1651]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.001 | [[876, 945, 1290, 1980], [805, 858, 1123, 1653], [775, 822, 1057, 1527]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.003 | [[876, 945, 1290, 1980], [805, 858, 1123, 1653], [775, 822, 1057, 1527]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.005 | [[864, 922, 1212, 1792], [829, 880, 1135, 1645], [798, 843, 1068, 1518]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.1 | 0.01 | [[880, 936, 1216, 1776], [839, 886, 1121, 1591], [807, 848, 1053, 1463]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.07 | 0.001 | [[793, 865, 1225, 1945], [716, 770, 1040, 1580], [683, 730, 965, 1435]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.07 | 0.003 | [[793, 865, 1225, 1945], [716, 770, 1040, 1580], [683, 730, 965, 1435]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.07 | 0.005 | [[781, 842, 1147, 1757], [740, 792, 1052, 1572], [706, 751, 976, 1426]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.07 | 0.01 | [[797, 856, 1151, 1741], [750, 798, 1038, 1518], [715, 756, 961, 1371]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.05 | 0.001 | [[750, 829, 1224, 2014], [674, 735, 1040, 1650], [637, 689, 949, 1469]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.05 | 0.003 | [[750, 829, 1224, 2014], [674, 735, 1040, 1650], [637, 689, 949, 1469]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.05 | 0.005 | [[738, 806, 1146, 1826], [698, 757, 1052, 1642], [660, 710, 960, 1460]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.4 | 0.05 | 0.01 | [[754, 820, 1150, 1810], [708, 763, 1038, 1588], [669, 715, 945, 1405]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.2 | 0.001 | [[1144, 1208, 1528, 2168], [1119, 1179, 1479, 2079], [1086, 1139, 1404, 1934]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.2 | 0.003 | [[1144, 1208, 1528, 2168], [1119, 1179, 1479, 2079], [1086, 1139, 1404, 1934]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.2 | 0.005 | [[1171, 1232, 1537, 2147], [1143, 1199, 1479, 2039], [1112, 1162, 1412, 1912]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.2 | 0.01 | [[1176, 1230, 1500, 2040], [1141, 1188, 1423, 1893], [1109, 1150, 1355, 1765]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.15 | 0.001 | [[984, 1048, 1368, 2008], [959, 1019, 1319, 1919], [927, 980, 1245, 1775]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.15 | 0.003 | [[984, 1048, 1368, 2008], [959, 1019, 1319, 1919], [927, 980, 1245, 1775]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.15 | 0.005 | [[1011, 1072, 1377, 1987], [983, 1039, 1319, 1879], [953, 1003, 1253, 1753]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.15 | 0.01 | [[1016, 1070, 1340, 1880], [981, 1028, 1263, 1733], [950, 991, 1196, 1606]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.1 | 0.001 | [[853, 929, 1309, 2069], [784, 844, 1144, 1744], [752, 805, 1070, 1600]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.1 | 0.003 | [[853, 929, 1309, 2069], [784, 844, 1144, 1744], [752, 805, 1070, 1600]] | 
vehicles | 20 | lof | 15days | 15 | False | 0.5 | 0.1 | 0.005 | [[841, 904, 1219, 1849], [808, 864, 1144, 1704], [778, 828, 1078, 1578]] | 
