Artficial_timestamp,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-05-03 00:01:23,642.14,1581.34,1392.65,21.61,554.79,2388.06,9057.43,47.14,522.26,2388.03,8148.42,8.3915,391,39.13,23.3768
2000-05-04 00:01:23,641.75,1575.29,1393.01,21.61,555.09,2388.02,9060.87,47.07,522.67,2387.98,8142.31,8.3902,392,39.19,23.3193
2000-05-05 00:01:23,641.9,1588.37,1391.04,21.61,554.56,2387.98,9058.42,47.19,522.54,2388.0,8139.69,8.4149,392,39.01,23.4293
2000-05-06 00:01:23,642.1,1585.82,1402.48,21.61,554.83,2387.94,9060.87,47.13,522.05,2387.98,8136.5,8.417,390,39.07,23.5193
2000-05-07 00:01:23,642.17,1581.64,1398.62,21.61,554.11,2388.01,9059.64,47.27,523.26,2388.03,8138.35,8.3773,391,39.01,23.4225
2000-05-08 00:01:23,641.74,1582.15,1394.59,21.61,554.83,2387.98,9052.49,47.2,522.1,2387.96,8141.27,8.3935,392,38.96,23.4529
2000-05-09 00:01:23,641.61,1583.91,1396.79,21.61,554.36,2387.96,9058.53,47.16,522.99,2388.0,8138.93,8.3746,391,39.14,23.5112
2000-05-10 00:01:23,641.92,1587.53,1394.05,21.61,554.41,2388.01,9060.14,47.05,522.27,2388.04,8140.46,8.3976,392,38.97,23.3613
2000-05-11 00:01:23,641.84,1586.99,1394.23,21.6,554.33,2388.03,9049.92,47.14,523.13,2388.04,8142.5,8.3922,391,38.89,23.4499
2000-05-12 00:01:23,641.9,1583.41,1400.16,21.61,554.89,2387.97,9056.86,47.26,522.64,2388.01,8141.67,8.415,389,39.06,23.457
2000-05-13 00:01:23,642.06,1577.5,1390.48,21.61,554.9,2388.03,9057.84,47.21,522.97,2387.95,8141.79,8.4285,389,39.0,23.3848
2000-05-14 00:01:23,641.44,1586.47,1402.08,21.6,555.43,2388.0,9059.03,47.23,522.71,2388.0,8136.47,8.3646,391,38.91,23.4495
2000-05-15 00:01:23,641.59,1585.37,1400.84,21.61,554.47,2387.97,9062.9,47.16,522.5,2387.98,8141.69,8.3705,390,39.19,23.4149
2000-05-16 00:01:23,641.48,1579.72,1399.07,21.6,554.98,2388.02,9052.32,47.35,522.51,2388.01,8146.92,8.3918,392,39.07,23.4627
2000-05-17 00:01:23,642.28,1579.22,1394.18,21.6,554.8,2387.97,9054.15,47.15,522.2,2387.96,8140.48,8.3812,392,39.18,23.4554
2000-05-18 00:01:23,642.15,1586.81,1396.95,21.6,554.0,2388.0,9052.07,47.14,522.28,2387.96,8135.33,8.3677,391,39.06,23.3728
2000-05-19 00:01:23,641.68,1586.2,1402.79,21.61,554.54,2388.03,9056.2,47.2,522.77,2388.0,8141.61,8.3667,392,39.06,23.38
2000-05-20 00:01:23,641.71,1579.52,1392.34,21.61,554.82,2387.99,9055.04,47.04,522.14,2388.02,8143.73,8.3917,392,39.22,23.3965
2000-05-21 00:01:23,641.95,1587.74,1394.18,21.61,554.36,2388.02,9057.11,47.27,521.96,2387.96,8142.36,8.4354,390,38.87,23.4891
