Artficial_timestamp,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
2000-04-07 00:03:52,462.54,536.61,1260.74,1051.88,7.05,9.02,175.05,1915.26,8016.54,0.94,36.88,164.63,2028.16,7873.42,10.8701,0.02,306,1915,84.93,14.09,8.6435
2000-04-08 00:03:52,489.05,604.75,1497.66,1303.84,10.52,15.49,394.09,2318.94,8776.45,1.26,45.43,371.88,2388.14,8122.98,8.6445,0.03,369,2319,100.0,28.6,17.1773
2000-04-09 00:03:52,489.05,604.66,1497.99,1305.35,10.52,15.49,394.22,2318.92,8774.52,1.26,45.46,371.34,2388.14,8130.17,8.6479,0.03,369,2319,100.0,28.77,17.077
2000-04-10 00:03:52,518.67,643.2,1594.22,1406.38,14.62,21.61,553.42,2388.1,9048.26,1.3,47.44,521.97,2388.06,8125.52,8.466,0.03,392,2388,100.0,39.0,23.3696
2000-04-11 00:03:52,445.0,549.8,1351.34,1125.67,3.91,5.71,138.95,2211.79,8322.83,1.02,42.16,130.36,2387.85,8074.12,9.3509,0.02,330,2212,100.0,10.6,6.4007
2000-04-12 00:03:52,445.0,549.5,1349.29,1126.23,3.91,5.72,138.84,2211.75,8320.2,1.02,42.13,130.88,2387.84,8078.69,9.3595,0.02,330,2212,100.0,10.73,6.3353
2000-04-13 00:03:52,491.19,607.57,1480.38,1250.66,9.35,13.66,334.76,2323.91,8719.88,1.08,44.51,314.66,2388.08,8050.81,9.2211,0.02,366,2324,100.0,24.54,14.668
2000-04-14 00:03:52,518.67,642.57,1587.21,1401.07,14.62,21.61,553.36,2388.11,9050.0,1.3,47.38,521.56,2388.14,8129.69,8.4616,0.03,392,2388,100.0,38.92,23.2931
2000-04-15 00:03:52,489.05,604.51,1499.46,1307.99,10.52,15.49,394.56,2318.93,8770.67,1.26,45.65,371.68,2388.14,8124.14,8.6661,0.03,369,2319,100.0,28.59,17.1455
2000-04-16 00:03:52,489.05,604.99,1494.92,1301.93,10.52,15.49,395.28,2318.98,8770.26,1.26,45.43,371.55,2388.11,8124.34,8.6551,0.03,370,2319,100.0,28.43,17.0764
2000-04-17 00:03:52,445.0,549.73,1352.68,1125.09,3.91,5.71,139.03,2211.77,8311.91,1.02,42.05,130.53,2387.88,8086.4,9.3995,0.02,331,2212,100.0,10.64,6.4128
2000-04-18 00:03:52,489.05,604.58,1493.36,1309.25,10.52,15.49,394.8,2318.97,8776.64,1.26,45.49,371.46,2388.18,8120.32,8.6322,0.03,369,2319,100.0,28.5,17.134
2000-04-19 00:03:52,491.19,607.69,1484.75,1251.91,9.35,13.66,335.32,2323.95,8715.03,1.08,44.27,314.32,2388.09,8055.88,9.2254,0.02,365,2324,100.0,24.55,14.6141
2000-04-20 00:03:52,445.0,549.58,1351.08,1126.4,3.91,5.71,138.89,2211.79,8318.98,1.02,42.09,130.29,2387.88,8084.78,9.3722,0.02,330,2212,100.0,10.59,6.2957
2000-04-21 00:03:52,445.0,548.94,1353.44,1127.14,3.91,5.71,138.28,2211.81,8319.46,1.02,42.2,130.86,2387.87,8081.95,9.3872,0.02,331,2212,100.0,10.7,6.3184
2000-04-22 00:03:52,445.0,549.46,1357.91,1128.41,3.91,5.72,138.51,2211.88,8320.34,1.02,42.13,130.33,2387.84,8081.64,9.3951,0.02,331,2212,100.0,10.45,6.4476
2000-04-23 00:03:52,445.0,549.63,1358.06,1132.82,3.91,5.71,139.44,2211.81,8310.44,1.02,42.22,130.58,2387.87,8079.92,9.3579,0.02,331,2212,100.0,10.63,6.248
2000-04-24 00:03:52,491.19,607.14,1483.39,1251.39,9.35,13.65,334.88,2323.94,8721.28,1.08,44.41,314.98,2388.07,8056.56,9.2275,0.02,364,2324,100.0,24.56,14.6503
2000-04-25 00:03:52,445.0,550.0,1352.01,1122.26,3.91,5.72,138.39,2211.8,8319.89,1.02,42.22,130.67,2387.92,8084.04,9.3659,0.02,332,2212,100.0,10.73,6.2984
2000-04-26 00:03:52,462.54,536.41,1264.64,1053.09,7.05,9.02,175.74,1915.24,8009.49,0.94,36.77,164.86,2028.1,7870.97,10.8793,0.02,307,1915,84.93,14.32,8.5555
2000-04-27 00:03:52,445.0,549.63,1359.05,1133.48,3.91,5.72,138.8,2211.8,8309.53,1.02,42.13,130.95,2387.81,8078.63,9.3772,0.02,330,2212,100.0,10.62,6.3284
2000-04-28 00:03:52,491.19,607.09,1484.18,1254.88,9.35,13.66,334.54,2323.95,8719.56,1.08,44.33,315.55,2388.11,8058.22,9.2102,0.02,365,2324,100.0,24.36,14.8022
2000-04-29 00:03:52,518.67,643.24,1586.63,1400.9,14.62,21.61,553.28,2388.13,9050.25,1.3,47.41,521.02,2388.07,8128.47,8.4563,0.03,393,2388,100.0,38.77,23.3358
2000-04-30 00:03:52,462.54,537.14,1259.47,1042.37,7.05,9.02,175.4,1915.3,8007.87,0.94,36.81,164.43,2028.15,7867.69,10.8831,0.02,305,1915,84.93,14.25,8.5868
2000-05-01 00:03:52,449.44,555.33,1361.26,1132.35,5.48,8.0,194.74,2222.87,8344.18,1.02,41.9,182.95,2387.97,8062.47,9.3116,0.02,333,2223,100.0,14.89,8.787
