Artficial_timestamp,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-04-15 00:01:21,642.27,1583.99,1399.18,553.32,2387.98,9051.72,47.07,521.55,2387.95,8136.3,8.3598,390,38.95,23.5568
2000-04-16 00:01:21,641.31,1580.62,1395.85,554.11,2388.0,9052.84,47.12,521.8,2387.92,8131.77,8.3975,392,39.0,23.3774
2000-04-17 00:01:21,642.33,1580.88,1397.41,553.5,2387.96,9054.19,47.05,521.43,2387.96,8133.06,8.3619,391,39.07,23.36
2000-04-18 00:01:21,641.8,1580.87,1392.52,554.03,2387.99,9048.39,47.23,521.4,2387.92,8139.98,8.3622,391,38.84,23.3118
2000-04-19 00:01:21,641.75,1581.19,1399.29,553.78,2387.96,9048.67,47.13,521.88,2387.91,8139.53,8.3895,392,39.03,23.4817
2000-04-20 00:01:21,642.15,1586.04,1397.31,553.9,2387.99,9047.99,47.06,521.95,2388.0,8131.25,8.3409,391,38.85,23.473
2000-04-21 00:01:21,642.27,1585.34,1392.47,553.54,2387.95,9049.63,47.12,521.59,2387.98,8132.0,8.4138,391,39.06,23.3701
2000-04-22 00:01:21,641.89,1582.07,1392.05,554.17,2387.91,9048.15,46.92,521.89,2387.93,8129.98,8.3887,390,38.92,23.2943
2000-04-23 00:01:21,641.95,1589.61,1398.6,553.77,2387.98,9043.13,47.03,522.08,2387.96,8136.44,8.3986,391,39.07,23.387
2000-04-24 00:01:21,642.16,1580.74,1398.04,553.72,2388.0,9054.67,47.05,520.93,2387.95,8135.86,8.3672,390,39.01,23.3511
2000-04-25 00:01:21,642.24,1581.99,1397.75,553.54,2387.94,9047.04,47.24,521.28,2387.99,8134.17,8.3948,390,39.1,23.3654
2000-04-26 00:01:21,642.03,1586.87,1392.36,553.13,2387.95,9046.88,47.2,521.4,2387.98,8137.9,8.4165,392,39.03,23.4089
2000-04-27 00:01:21,641.84,1572.05,1404.64,553.41,2387.93,9055.94,47.05,521.57,2387.96,8130.4,8.4485,392,39.14,23.2872
2000-04-28 00:01:21,641.78,1578.94,1392.39,552.97,2387.93,9045.57,47.15,521.44,2387.96,8134.93,8.3692,392,38.79,23.4296
2000-04-29 00:01:21,641.76,1583.86,1394.26,554.27,2388.01,9052.18,47.18,522.38,2387.94,8131.42,8.4039,392,39.15,23.4842
2000-04-30 00:01:21,642.38,1579.16,1395.02,553.59,2387.97,9054.16,47.06,521.78,2387.99,8132.56,8.3931,391,38.98,23.4204
2000-05-01 00:01:21,641.56,1583.98,1396.35,553.54,2387.96,9048.41,47.14,521.48,2387.95,8135.02,8.3566,392,39.05,23.3936
2000-05-02 00:01:21,641.82,1576.74,1395.38,554.02,2387.98,9052.13,47.12,521.7,2387.93,8132.01,8.4067,392,38.88,23.3478
2000-05-03 00:01:21,641.59,1586.41,1392.21,553.69,2387.99,9049.81,47.06,521.67,2387.92,8130.67,8.4008,391,38.92,23.3566
2000-05-04 00:01:21,640.99,1582.58,1395.41,553.63,2387.94,9051.83,46.97,521.4,2387.99,8133.23,8.3812,390,38.97,23.4038
2000-05-05 00:01:21,642.37,1586.28,1393.99,553.91,2387.96,9058.2,47.18,522.13,2387.96,8132.8,8.3754,391,39.06,23.3462
2000-05-06 00:01:21,642.1,1576.75,1399.03,553.74,2387.95,9049.67,47.11,521.37,2387.87,8131.16,8.3943,390,38.94,23.3769
2000-05-07 00:01:21,641.4,1573.49,1394.79,553.28,2387.98,9053.64,47.05,521.93,2387.92,8127.53,8.3905,390,38.92,23.3752
2000-05-08 00:01:21,642.07,1586.58,1397.08,553.22,2387.95,9047.66,47.12,521.77,2387.94,8132.81,8.3931,391,39.01,23.4049
2000-05-09 00:01:21,642.24,1578.81,1396.79,553.98,2387.95,9051.79,47.23,522.64,2388.0,8131.95,8.3977,390,39.01,23.3562
2000-05-10 00:01:21,642.19,1584.1,1389.91,553.63,2387.95,9050.39,46.95,522.05,2387.98,8133.36,8.4309,390,39.12,23.3874
2000-05-11 00:01:21,641.72,1585.4,1399.05,554.23,2387.95,9048.89,46.97,521.66,2387.95,8138.28,8.4111,391,39.04,23.3258
2000-05-12 00:01:21,641.6,1583.12,1389.55,553.82,2387.93,9047.36,47.03,521.92,2387.98,8139.08,8.3911,391,38.98,23.4204
2000-05-13 00:01:21,641.82,1586.73,1395.67,553.8,2387.98,9043.19,47.13,521.63,2388.02,8132.18,8.3629,392,39.13,23.4992
2000-05-14 00:01:21,642.1,1590.68,1392.85,553.83,2387.97,9049.45,47.07,521.53,2388.03,8133.85,8.3961,391,38.95,23.4084
2000-05-15 00:01:21,642.13,1580.14,1395.42,553.92,2387.98,9053.6,47.21,521.32,2387.99,8136.8,8.3643,391,39.09,23.3937
2000-05-16 00:01:21,642.02,1589.2,1391.03,553.07,2388.0,9052.97,47.02,521.43,2387.97,8138.41,8.3672,391,38.98,23.4719
2000-05-17 00:01:21,642.54,1581.03,1393.39,554.14,2387.95,9043.98,47.24,521.71,2387.99,8135.61,8.3945,390,38.96,23.4056
2000-05-18 00:01:21,641.75,1591.33,1397.01,554.15,2388.04,9044.88,46.95,521.9,2387.95,8136.67,8.3685,392,39.11,23.2576
2000-05-19 00:01:21,642.2,1582.44,1389.73,554.27,2387.97,9049.82,46.91,520.84,2387.99,8136.45,8.408,390,39.09,23.3736
2000-05-20 00:01:21,641.67,1583.88,1400.12,553.14,2388.03,9055.69,47.17,521.22,2388.0,8135.8,8.3761,392,38.97,23.4348
2000-05-21 00:01:21,642.5,1584.03,1393.38,554.09,2387.94,9049.08,46.99,521.9,2387.94,8134.28,8.3822,390,38.95,23.4707
2000-05-22 00:01:21,641.93,1581.43,1398.61,554.05,2387.95,9044.33,47.14,521.59,2387.97,8131.92,8.362,392,38.85,23.4402
2000-05-23 00:01:21,641.42,1584.32,1390.6,553.55,2387.88,9050.65,46.96,521.04,2387.96,8131.29,8.4238,391,38.99,23.4243
2000-05-24 00:01:21,641.7,1584.39,1387.16,553.87,2387.96,9048.04,47.07,521.1,2387.95,8137.71,8.4053,393,39.0,23.3602
2000-05-25 00:01:21,641.94,1583.62,1395.61,554.33,2387.99,9050.96,47.14,521.88,2387.98,8134.1,8.3946,392,39.06,23.3335
2000-05-26 00:01:21,641.37,1576.68,1393.8,554.39,2387.98,9050.12,46.95,522.17,2387.99,8137.75,8.3875,392,38.97,23.4196
2000-05-27 00:01:21,641.87,1587.25,1398.31,552.87,2387.98,9048.19,47.35,521.63,2388.0,8133.49,8.3905,390,39.16,23.4565
2000-05-28 00:01:21,641.65,1582.88,1395.87,553.36,2387.96,9050.7,47.05,520.96,2387.94,8132.92,8.3765,392,39.03,23.3586
2000-05-29 00:01:21,642.12,1580.59,1396.69,554.47,2387.95,9055.14,47.18,521.78,2387.97,8130.19,8.3545,391,39.01,23.4451
2000-05-30 00:01:21,642.08,1578.13,1395.34,553.29,2387.98,9049.99,47.14,521.5,2387.98,8133.7,8.4037,391,39.11,23.4026
2000-05-31 00:01:21,641.65,1582.9,1394.25,553.83,2387.98,9049.89,47.13,521.58,2387.92,8136.46,8.4219,392,38.97,23.3925
2000-06-01 00:01:21,641.91,1576.94,1390.3,553.11,2387.95,9053.4,47.18,521.47,2388.02,8131.72,8.3842,391,39.06,23.4187
2000-06-02 00:01:21,642.45,1587.03,1398.0,553.56,2388.02,9053.6,47.17,521.46,2387.94,8140.81,8.3941,392,39.02,23.4456
2000-06-03 00:01:21,642.33,1590.2,1387.93,554.54,2388.0,9048.92,47.03,522.07,2387.98,8137.4,8.4127,392,39.06,23.3982
2000-06-04 00:01:21,641.66,1581.6,1397.17,553.66,2387.98,9052.39,47.1,521.12,2387.94,8133.15,8.3822,390,39.06,23.4978
2000-06-05 00:01:21,641.95,1585.77,1398.26,553.74,2387.98,9055.56,47.01,522.27,2387.94,8135.84,8.3729,391,39.0,23.37
2000-06-06 00:01:21,641.86,1586.47,1394.05,553.7,2387.99,9048.66,47.22,521.75,2387.91,8139.17,8.3849,389,39.05,23.4293
2000-06-07 00:01:21,642.22,1578.34,1393.47,553.89,2387.94,9045.4,47.11,521.51,2387.99,8135.21,8.3501,391,39.04,23.4198
2000-06-08 00:01:21,642.98,1586.26,1397.62,553.63,2387.94,9052.56,47.11,521.59,2387.98,8140.99,8.4203,391,38.9,23.3888
2000-06-09 00:01:21,641.94,1589.02,1400.15,553.61,2387.95,9047.37,47.13,521.53,2387.94,8131.13,8.3857,392,39.07,23.3633
2000-06-10 00:01:21,641.7,1584.36,1395.93,554.06,2387.98,9052.49,47.09,521.83,2387.96,8137.59,8.3752,390,39.1,23.4387
2000-06-11 00:01:21,642.05,1581.1,1391.08,553.76,2387.97,9049.6,47.14,521.77,2387.93,8129.2,8.4172,393,39.08,23.4847
2000-06-12 00:01:21,641.94,1584.58,1392.77,554.14,2388.02,9050.88,46.95,521.49,2387.99,8138.39,8.4096,391,39.11,23.4179
2000-06-13 00:01:21,642.18,1586.85,1396.13,553.45,2387.93,9051.7,47.1,521.17,2387.92,8135.19,8.3616,391,39.02,23.4921
2000-06-14 00:01:21,641.78,1575.41,1394.07,553.78,2387.99,9042.65,47.17,521.85,2387.92,8135.76,8.3909,390,38.93,23.4889
2000-06-15 00:01:21,642.71,1581.87,1397.19,553.28,2387.89,9045.9,47.16,521.34,2387.95,8131.23,8.3783,391,39.07,23.3441
2000-06-16 00:01:21,642.01,1582.99,1396.92,553.57,2387.98,9052.37,47.3,521.8,2388.0,8133.14,8.3975,391,38.92,23.4792
2000-06-17 00:01:21,642.06,1581.97,1387.87,554.01,2387.97,9048.85,47.05,522.44,2387.99,8131.47,8.3702,390,38.93,23.3944
2000-06-18 00:01:21,641.83,1580.55,1396.66,553.54,2388.01,9049.28,47.06,521.31,2387.99,8128.9,8.3843,391,39.01,23.4254
2000-06-19 00:01:21,642.43,1583.07,1397.98,553.87,2388.0,9049.05,46.98,521.88,2387.93,8135.25,8.3673,391,39.08,23.365
2000-06-20 00:01:21,641.53,1586.46,1397.31,553.97,2387.96,9050.87,47.12,521.51,2387.96,8130.9,8.3757,391,39.04,23.3591
2000-06-21 00:01:21,642.37,1576.71,1395.14,553.27,2387.93,9058.66,47.13,521.35,2387.96,8136.85,8.4142,390,39.17,23.4132
2000-06-22 00:01:21,641.5,1587.62,1396.97,553.74,2387.93,9053.76,47.02,522.09,2388.0,8134.05,8.3767,391,39.05,23.4528
2000-06-23 00:01:21,641.84,1581.94,1392.73,554.2,2387.97,9045.24,47.13,521.8,2387.93,8137.14,8.3859,390,39.35,23.4807
2000-06-24 00:01:21,641.64,1579.92,1393.59,553.1,2387.99,9053.02,47.06,521.83,2387.99,8137.32,8.3909,391,38.91,23.4084
2000-06-25 00:01:21,642.39,1579.98,1400.38,554.28,2387.95,9057.22,47.2,522.57,2387.99,8141.52,8.3814,392,39.02,23.4882
2000-06-26 00:01:21,641.71,1585.03,1395.9,553.6,2387.97,9053.13,47.1,521.67,2387.97,8137.74,8.3736,389,39.06,23.5003
2000-06-27 00:01:21,642.52,1589.39,1399.39,554.16,2388.0,9057.84,47.17,522.6,2388.01,8130.69,8.3234,393,38.87,23.4268
2000-06-28 00:01:21,641.61,1581.2,1394.57,553.85,2387.96,9054.84,47.18,521.62,2387.97,8136.55,8.3577,391,39.04,23.3669
2000-06-29 00:01:21,641.78,1576.69,1384.97,553.98,2387.95,9047.88,46.94,522.09,2387.97,8130.08,8.3816,391,39.1,23.4137
2000-06-30 00:01:21,641.8,1581.6,1393.91,553.69,2388.01,9051.11,47.08,521.8,2387.97,8135.78,8.3802,392,39.1,23.423
2000-07-01 00:01:21,642.26,1587.45,1398.12,553.91,2387.96,9050.55,47.18,521.56,2387.98,8131.05,8.4123,392,38.97,23.4502
2000-07-02 00:01:21,642.17,1576.9,1392.94,553.49,2387.98,9058.82,46.92,521.65,2388.0,8135.63,8.38,392,38.95,23.3882
2000-07-03 00:01:21,641.52,1583.07,1394.99,554.71,2387.97,9058.09,47.16,522.1,2387.96,8140.49,8.378,392,38.99,23.3962
2000-07-04 00:01:21,641.82,1579.1,1394.94,553.39,2387.98,9045.83,46.95,521.74,2387.96,8136.35,8.3759,390,38.81,23.3952
2000-07-05 00:01:21,642.13,1582.09,1393.47,553.58,2387.96,9055.74,47.08,522.55,2387.96,8133.49,8.3425,391,39.18,23.4183
2000-07-06 00:01:21,641.6,1593.37,1397.61,554.19,2388.01,9052.04,46.98,522.21,2387.97,8136.07,8.4307,391,39.1,23.3821
2000-07-07 00:01:21,642.16,1577.02,1395.1,554.16,2388.02,9047.05,47.1,521.9,2387.92,8137.02,8.3924,392,39.0,23.4273
2000-07-08 00:01:21,642.22,1579.87,1394.38,554.39,2387.98,9048.13,47.09,521.82,2387.98,8137.61,8.3893,391,39.0,23.3831
2000-07-09 00:01:21,641.92,1589.72,1393.94,553.79,2387.98,9045.45,47.08,521.3,2387.99,8141.95,8.3953,389,38.84,23.3503
2000-07-10 00:01:21,641.5,1584.26,1394.49,553.18,2388.02,9053.68,47.06,521.5,2387.92,8138.67,8.3858,391,39.03,23.4602
2000-07-11 00:01:21,642.34,1576.8,1387.97,554.36,2387.96,9053.16,47.14,522.18,2387.94,8138.75,8.3723,391,39.01,23.448
