Artficial_timestamp,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-05-03 00:01:20,642.66,1588.3,1392.25,21.61,553.3,2388.17,9052.54,47.44,521.76,2388.13,8130.23,8.4377,393,38.66,23.2146
2000-05-04 00:01:20,642.55,1590.37,1413.83,21.61,554.33,2388.08,9047.61,47.62,521.62,2388.12,8136.26,8.4602,393,38.83,23.3626
2000-05-05 00:01:20,643.62,1586.74,1408.62,21.61,553.94,2388.12,9055.27,47.46,521.51,2388.1,8131.42,8.399,393,38.78,23.2833
2000-05-06 00:01:20,643.04,1589.6,1412.19,21.61,553.18,2388.13,9047.89,47.51,520.98,2388.09,8133.99,8.4308,395,39.01,23.3077
2000-05-07 00:01:20,642.1,1587.23,1408.13,21.61,552.94,2388.13,9057.0,47.59,521.22,2388.09,8127.56,8.4253,393,38.92,23.1403
2000-05-08 00:01:20,642.17,1592.74,1410.83,21.61,553.13,2388.09,9051.94,47.51,521.66,2388.07,8133.47,8.467,395,38.8,23.387
2000-05-09 00:01:20,642.44,1590.79,1409.0,21.61,552.91,2388.11,9051.56,47.41,521.28,2388.1,8133.93,8.4333,394,38.9,23.2716
2000-05-10 00:01:20,642.24,1580.72,1408.6,21.61,553.27,2388.13,9053.9,47.48,521.96,2388.07,8129.63,8.4129,393,38.83,23.2389
2000-05-11 00:01:20,642.27,1580.36,1414.7,21.61,553.21,2388.13,9049.19,47.75,521.39,2388.13,8130.14,8.4519,393,38.76,23.3685
2000-05-12 00:01:20,643.42,1587.59,1416.48,21.61,553.88,2388.09,9056.24,47.52,521.85,2388.13,8134.07,8.4274,393,38.68,23.2907
2000-05-13 00:01:20,642.99,1593.0,1409.51,21.61,553.91,2388.11,9052.87,47.58,521.33,2388.1,8134.17,8.4555,394,38.78,23.2839
2000-05-14 00:01:20,643.02,1601.02,1412.01,21.61,553.02,2388.12,9058.32,47.59,520.71,2388.1,8135.77,8.4655,394,38.65,23.2453
2000-05-15 00:01:20,642.91,1586.05,1408.53,21.61,552.13,2388.13,9058.03,47.68,521.6,2388.06,8131.88,8.4259,392,38.85,23.3184
2000-05-16 00:01:20,642.58,1588.22,1416.61,21.61,553.06,2388.12,9060.04,47.53,522.05,2388.13,8131.76,8.409,392,38.8,23.3618
2000-05-17 00:01:20,642.93,1595.52,1405.62,21.61,553.59,2388.1,9050.54,47.6,521.51,2388.1,8136.69,8.4467,392,38.98,23.2601
2000-05-18 00:01:20,641.93,1590.07,1411.21,21.61,553.45,2388.12,9056.97,47.52,521.12,2388.14,8139.51,8.441,394,38.8,23.2677
2000-05-19 00:01:20,642.38,1588.24,1403.27,21.61,553.65,2388.07,9051.17,47.58,521.9,2388.08,8137.7,8.4585,393,38.79,23.2894
2000-05-20 00:01:20,642.37,1584.99,1410.61,21.61,553.29,2388.18,9056.27,47.72,520.82,2388.08,8133.8,8.4245,394,38.84,23.3161
2000-05-21 00:01:20,642.65,1588.34,1406.36,21.61,553.56,2388.09,9053.0,47.71,521.49,2388.08,8133.71,8.4314,391,39.01,23.2337
2000-05-22 00:01:20,642.58,1588.29,1404.34,21.61,553.69,2388.14,9053.59,47.5,521.15,2388.08,8133.8,8.4597,393,38.75,23.2536
