Artficial_timestamp,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-04-27 00:01:14,642.19,1589.58,1408.54,553.88,2387.99,9064.91,47.43,521.79,2388.0,8145.35,8.4601,391,38.89,23.3443
2000-04-28 00:01:14,642.73,1578.25,1398.5,553.32,2388.01,9066.94,47.14,522.59,2388.02,8145.24,8.4233,393,38.72,23.3481
2000-04-29 00:01:14,642.76,1595.35,1407.18,554.03,2388.04,9061.43,47.38,522.25,2388.08,8141.36,8.4304,393,38.87,23.4117
2000-04-30 00:01:14,642.52,1591.23,1407.57,553.8,2388.08,9062.55,47.34,521.8,2388.1,8144.92,8.4131,393,38.94,23.2593
2000-05-01 00:01:14,642.68,1586.28,1403.38,553.79,2388.08,9063.34,47.47,521.81,2388.04,8142.5,8.4154,392,38.85,23.2933
2000-05-02 00:01:14,642.76,1587.59,1410.27,554.13,2388.05,9057.55,47.47,521.85,2388.05,8142.93,8.3988,394,38.75,23.3528
2000-05-03 00:01:14,642.16,1585.84,1400.03,553.57,2388.06,9070.65,47.14,521.74,2388.08,8147.35,8.4391,392,38.93,23.4539
2000-05-04 00:01:14,642.98,1593.5,1404.39,553.87,2388.0,9064.56,47.27,522.13,2388.05,8140.75,8.3979,392,38.93,23.2133
2000-05-05 00:01:14,642.25,1589.95,1399.97,554.64,2388.09,9065.58,47.15,521.42,2388.02,8143.13,8.379,393,38.98,23.4365
2000-05-06 00:01:14,642.59,1593.47,1400.06,553.3,2388.07,9060.7,47.42,521.9,2388.11,8140.38,8.4146,391,38.89,23.4128
2000-05-07 00:01:14,642.18,1581.7,1401.97,554.61,2388.07,9060.59,47.29,521.28,2388.05,8142.2,8.4058,390,39.07,23.3636
2000-05-08 00:01:14,642.74,1587.42,1411.9,554.09,2388.09,9066.78,47.35,522.34,2388.04,8144.56,8.3622,393,38.9,23.4294
2000-05-09 00:01:14,642.37,1588.41,1402.92,553.74,2388.06,9062.91,47.49,521.32,2388.09,8143.42,8.4001,391,38.79,23.3449
2000-05-10 00:01:14,642.72,1590.14,1402.66,553.21,2388.05,9057.5,47.23,521.54,2388.06,8144.07,8.4209,392,38.95,23.4228
2000-05-11 00:01:14,642.2,1587.12,1409.56,554.35,2388.05,9063.92,47.41,521.63,2388.04,8144.52,8.4177,392,38.88,23.2178
2000-05-12 00:01:14,642.08,1588.43,1402.73,554.31,2388.02,9054.46,47.29,522.33,2388.09,8141.69,8.4176,393,38.97,23.2719
2000-05-13 00:01:14,642.66,1591.85,1402.02,553.57,2388.06,9063.95,47.44,521.03,2388.07,8142.07,8.4235,393,38.8,23.2524
