Artficial_timestamp,s_2,s_3,s_4,s_6,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-05-03 00:01:26,643.06,1593.71,1408.42,21.61,554.35,2388.05,9060.64,47.35,522.38,2388.09,8136.32,8.4239,392,38.82,23.4096
2000-05-04 00:01:26,642.41,1602.39,1407.07,21.6,553.84,2388.07,9067.94,47.51,521.68,2388.09,8138.02,8.4522,393,38.97,23.3046
2000-05-05 00:01:26,642.79,1583.74,1407.67,21.61,554.17,2388.08,9058.55,47.5,521.84,2388.11,8140.18,8.4097,392,38.89,23.3123
2000-05-06 00:01:26,642.28,1587.97,1399.32,21.61,553.85,2388.07,9059.9,47.29,522.14,2388.02,8144.68,8.4076,391,38.82,23.2605
2000-05-07 00:01:26,642.5,1589.78,1407.85,21.61,553.33,2388.05,9061.34,47.51,521.82,2388.11,8143.84,8.4116,391,39.12,23.4223
2000-05-08 00:01:26,643.16,1591.03,1407.62,21.61,554.07,2388.08,9060.78,47.69,521.69,2388.07,8144.5,8.4499,393,38.81,23.2583
2000-05-09 00:01:26,642.35,1585.02,1403.66,21.61,553.83,2388.04,9061.15,47.32,521.54,2388.05,8138.75,8.4671,392,38.97,23.3339
2000-05-10 00:01:26,643.01,1582.3,1409.89,21.61,554.11,2387.98,9053.38,47.31,521.92,2388.01,8137.93,8.4597,392,39.1,23.3448
2000-05-11 00:01:26,642.29,1586.49,1401.55,21.61,553.56,2388.07,9055.51,47.56,521.72,2388.13,8140.46,8.3998,393,39.05,23.4663
2000-05-12 00:01:26,642.62,1587.37,1401.4,21.61,554.32,2388.05,9064.18,47.49,521.92,2388.03,8137.36,8.4148,394,38.79,23.3423
2000-05-13 00:01:26,642.76,1590.64,1398.88,21.61,554.1,2388.03,9057.69,47.31,521.54,2388.05,8143.3,8.4034,393,38.86,23.2945
2000-05-14 00:01:26,642.41,1589.18,1404.37,21.61,554.05,2388.04,9064.33,47.28,521.35,2388.1,8140.45,8.4069,392,38.89,23.492
2000-05-15 00:01:26,642.56,1590.84,1403.51,21.61,554.06,2388.08,9053.93,47.39,521.44,2388.1,8135.93,8.4416,393,39.02,23.3551
2000-05-16 00:01:26,642.43,1582.7,1411.21,21.61,553.68,2388.08,9063.96,47.28,521.9,2388.06,8138.81,8.4378,392,38.64,23.3873
2000-05-17 00:01:26,642.56,1584.94,1406.71,21.61,553.13,2388.06,9065.57,47.54,522.25,2388.04,8145.74,8.4243,393,39.0,23.2888
2000-05-18 00:01:26,642.73,1590.43,1399.81,21.61,554.21,2388.06,9063.52,47.46,522.11,2388.06,8140.14,8.3922,391,38.85,23.2716
2000-05-19 00:01:26,642.68,1587.61,1400.08,21.61,553.3,2388.04,9056.71,47.44,521.54,2388.06,8145.05,8.3858,392,38.77,23.2346
2000-05-20 00:01:26,642.65,1596.39,1397.51,21.61,553.27,2388.08,9062.54,47.53,521.84,2388.06,8138.91,8.4062,393,38.84,23.3539
2000-05-21 00:01:26,642.39,1583.43,1404.43,21.61,553.24,2388.08,9060.48,47.51,521.61,2388.05,8140.3,8.4605,391,38.74,23.3869
2000-05-22 00:01:26,642.71,1589.02,1407.81,21.61,553.26,2388.03,9066.97,47.22,521.36,2388.04,8139.62,8.426,393,38.9,23.4574
2000-05-23 00:01:26,643.02,1583.21,1399.7,21.61,554.61,2388.09,9063.15,47.37,521.74,2388.06,8138.61,8.4285,393,38.9,23.4391
2000-05-24 00:01:26,642.56,1585.53,1401.87,21.61,553.61,2388.06,9064.18,47.53,521.61,2388.06,8141.27,8.4699,392,38.79,23.3393
2000-05-25 00:01:26,642.26,1595.97,1401.04,21.61,553.94,2388.05,9057.46,47.38,522.11,2388.08,8144.81,8.4147,393,38.95,23.3704
2000-05-26 00:01:26,642.74,1592.33,1402.5,21.61,553.89,2388.1,9062.59,47.47,521.5,2388.09,8139.85,8.4285,394,38.92,23.3893
2000-05-27 00:01:26,642.81,1592.84,1400.92,21.61,553.59,2388.08,9063.14,47.24,521.65,2388.1,8141.78,8.459,394,39.07,23.3068
2000-05-28 00:01:26,642.4,1586.33,1408.56,21.61,553.76,2388.04,9055.59,47.77,521.84,2388.05,8141.56,8.4046,392,38.8,23.2964
2000-05-29 00:01:26,642.51,1587.01,1409.87,21.61,553.62,2388.09,9062.72,47.46,522.3,2388.11,8137.69,8.4124,392,38.98,23.2926
2000-05-30 00:01:26,641.94,1589.52,1408.34,21.61,553.95,2388.05,9056.74,47.46,522.02,2388.06,8139.46,8.4331,392,39.15,23.3394
2000-05-31 00:01:26,642.99,1586.9,1413.44,21.61,554.08,2388.06,9060.36,47.41,521.92,2388.08,8143.55,8.4327,392,38.84,23.3209
2000-06-01 00:01:26,642.19,1590.91,1401.92,21.61,553.48,2388.02,9057.61,47.25,522.01,2388.14,8136.44,8.4658,393,38.92,23.3552
2000-06-02 00:01:26,642.71,1593.2,1405.33,21.61,553.02,2388.11,9057.8,47.4,521.94,2388.06,8140.02,8.4428,392,38.84,23.3273
2000-06-03 00:01:26,642.38,1590.33,1399.02,21.61,553.06,2388.07,9063.34,47.37,522.43,2388.06,8140.01,8.3746,393,38.95,23.2961
2000-06-04 00:01:26,642.37,1582.81,1404.7,21.61,553.5,2388.09,9055.77,47.3,522.28,2388.05,8136.97,8.4234,394,38.86,23.3052
2000-06-05 00:01:26,642.72,1585.37,1398.87,21.61,554.22,2388.04,9061.82,47.35,522.02,2388.09,8141.16,8.4139,393,38.99,23.4016
2000-06-06 00:01:26,642.38,1589.25,1402.49,21.61,553.85,2388.08,9056.63,47.44,521.78,2388.02,8143.41,8.4305,393,38.9,23.4274
2000-06-07 00:01:26,642.8,1593.92,1411.38,21.61,552.87,2388.11,9064.29,47.24,521.82,2388.13,8139.52,8.3918,392,38.98,23.3293
