Artficial_timestamp,s_1,s_2,s_3,s_4,s_5,s_6,s_7,s_8,s_9,s_10,s_11,s_12,s_13,s_14,s_15,s_16,s_17,s_18,s_19,s_20,s_21
2000-05-19 00:02:25,445.0,549.24,1346.65,1120.32,3.91,5.71,138.99,2212.07,8329.77,1.02,41.83,130.72,2388.21,8091.64,9.3188,0.02,330,2212,100.0,10.54,6.3324
2000-05-20 00:02:25,462.54,536.13,1254.1,1040.04,7.05,9.03,175.63,1915.49,8018.14,0.94,36.42,165.16,2028.38,7876.28,10.8612,0.02,305,1915,84.93,14.11,8.5383
2000-05-21 00:02:25,445.0,549.27,1340.79,1112.76,3.91,5.71,138.53,2212.07,8322.12,1.02,41.87,131.17,2388.17,8090.33,9.3301,0.02,329,2212,100.0,10.56,6.4177
2000-05-22 00:02:25,491.19,607.09,1478.65,1244.45,9.35,13.65,335.16,2323.89,8732.87,1.08,44.1,315.67,2388.06,8075.98,9.1922,0.02,363,2324,100.0,24.53,14.7545
2000-05-23 00:02:25,445.0,549.19,1347.21,1118.68,3.91,5.72,138.96,2212.07,8327.94,1.02,41.79,130.85,2388.17,8097.24,9.351,0.02,330,2212,100.0,10.71,6.4363
2000-05-24 00:02:25,518.67,641.9,1577.44,1391.58,14.62,21.61,554.92,2387.95,9056.47,1.3,47.28,522.66,2387.98,8145.0,8.4356,0.03,392,2388,100.0,39.18,23.2759
2000-05-25 00:02:25,449.44,555.05,1364.89,1117.87,5.48,8.0,194.45,2223.02,8356.7,1.02,41.62,183.62,2388.14,8072.08,9.2515,0.02,333,2223,100.0,14.78,8.9412
2000-05-26 00:02:25,518.67,641.89,1583.98,1401.3,14.62,21.61,554.95,2387.97,9060.19,1.3,47.01,522.99,2388.0,8141.49,8.3528,0.03,391,2388,100.0,39.1,23.3388
2000-05-27 00:02:25,489.05,603.62,1495.43,1294.82,10.52,15.49,395.42,2318.83,8789.34,1.26,45.06,372.26,2388.02,8144.08,8.6599,0.03,367,2319,100.0,28.69,17.2039
2000-05-28 00:02:25,491.19,606.96,1476.45,1244.49,9.35,13.65,335.67,2324.0,8721.87,1.08,43.96,315.38,2388.02,8064.79,9.1824,0.02,364,2324,100.0,24.59,14.7276
2000-05-29 00:02:25,449.44,555.16,1356.64,1117.02,5.48,8.0,194.63,2223.03,8354.66,1.02,41.58,183.86,2388.15,8071.56,9.2695,0.02,333,2223,100.0,14.79,8.9561
2000-05-30 00:02:25,462.54,536.64,1256.45,1047.17,7.05,9.02,175.46,1915.48,8014.24,0.94,36.35,165.23,2028.31,7879.76,10.8503,0.02,306,1915,84.93,14.35,8.5203
2000-05-31 00:02:25,462.54,536.94,1266.02,1042.57,7.05,9.02,175.65,1915.46,8018.46,0.94,36.34,164.88,2028.32,7877.28,10.8545,0.02,306,1915,84.93,14.37,8.615
2000-06-01 00:02:25,449.44,554.92,1366.91,1127.66,5.48,8.0,194.44,2223.08,8349.5,1.02,41.73,183.43,2388.13,8072.08,9.2831,0.02,333,2223,100.0,15.04,8.9682
