Artficial_timestamp,s_2,s_3,s_4,s_7,s_8,s_9,s_11,s_12,s_13,s_14,s_15,s_17,s_20,s_21
2000-05-15 00:00:06,642.58,1585.73,1398.43,553.44,2388.05,9064.87,47.16,521.88,2388.05,8142.76,8.4195,392,39.0,23.2726
2000-05-16 00:00:06,641.97,1583.61,1394.49,553.58,2388.05,9058.83,47.26,521.43,2388.12,8146.91,8.4167,391,38.81,23.3522
2000-05-17 00:00:06,642.81,1596.63,1401.59,553.41,2388.09,9059.72,47.63,521.19,2388.08,8142.36,8.4294,394,38.86,23.3469
2000-05-18 00:00:06,642.76,1595.16,1403.99,554.21,2388.05,9064.82,47.38,522.15,2388.05,8140.66,8.3918,395,38.99,23.2735
2000-05-19 00:00:06,642.87,1593.02,1407.91,553.76,2388.06,9066.83,47.26,521.68,2388.06,8141.66,8.4348,393,38.86,23.4021
2000-05-20 00:00:06,642.48,1584.52,1399.6,554.87,2388.08,9068.76,47.64,521.96,2388.01,8143.3,8.4257,390,39.12,23.3245
2000-05-21 00:00:06,642.79,1588.58,1404.87,553.74,2388.04,9061.64,47.22,521.9,2388.09,8136.98,8.4185,394,38.94,23.2964
2000-05-22 00:00:06,642.75,1591.89,1405.59,554.1,2388.06,9063.24,47.36,521.27,2388.13,8141.3,8.4265,392,38.79,23.3355
2000-05-23 00:00:06,642.93,1591.39,1408.23,553.88,2388.07,9050.43,47.49,521.52,2388.07,8139.74,8.4081,391,38.83,23.4171
2000-05-24 00:00:06,642.08,1588.11,1400.37,554.15,2388.03,9059.13,47.35,521.32,2388.1,8147.31,8.402,393,39.11,23.3261
2000-05-25 00:00:06,641.94,1593.66,1399.85,553.68,2388.12,9060.33,47.35,521.42,2388.09,8139.48,8.4248,394,38.97,23.3632
2000-05-26 00:00:06,642.48,1588.54,1406.77,553.25,2388.01,9060.92,47.46,522.02,2388.05,8136.45,8.4515,392,38.89,23.2361
2000-05-27 00:00:06,642.97,1579.43,1406.15,554.06,2388.02,9054.05,47.35,521.48,2388.04,8142.43,8.4253,393,39.0,23.3894
2000-05-28 00:00:06,642.38,1585.56,1411.28,554.07,2388.07,9052.82,47.32,521.86,2388.07,8141.06,8.4098,390,38.79,23.2463
2000-05-29 00:00:06,642.24,1581.93,1400.24,553.39,2388.07,9066.42,47.51,521.94,2388.02,8146.01,8.4172,393,38.78,23.2859
2000-05-30 00:00:06,642.04,1591.75,1399.06,553.5,2388.05,9060.38,47.31,522.31,2388.1,8143.03,8.4439,394,38.88,23.3132
2000-05-31 00:00:06,642.72,1589.54,1400.63,554.3,2388.07,9058.81,47.29,521.62,2388.09,8141.89,8.4259,392,38.91,23.4286
2000-06-01 00:00:06,642.24,1588.27,1402.1,553.58,2388.06,9065.0,47.47,521.69,2388.04,8140.46,8.4369,391,38.85,23.3931
2000-06-02 00:00:06,642.39,1586.74,1404.53,553.48,2388.09,9061.94,47.34,521.52,2388.09,8137.87,8.4093,393,38.86,23.3345
2000-06-03 00:00:06,642.67,1591.13,1399.58,554.03,2388.04,9057.47,47.32,521.94,2388.01,8144.54,8.4233,391,38.8,23.3437
2000-06-04 00:00:06,642.64,1584.7,1403.81,553.66,2388.02,9056.56,47.4,521.92,2388.05,8139.16,8.4174,392,38.89,23.3544
2000-06-05 00:00:06,642.65,1594.69,1405.92,553.44,2388.12,9060.39,47.37,521.73,2388.09,8144.45,8.4028,393,39.04,23.3414
2000-06-06 00:00:06,642.47,1589.94,1402.96,554.03,2388.11,9060.05,47.23,521.43,2388.09,8138.89,8.4263,391,39.16,23.3814
2000-06-07 00:00:06,642.28,1582.18,1403.66,553.98,2388.06,9060.72,47.48,522.31,2388.14,8144.96,8.4589,392,38.71,23.2756
2000-06-08 00:00:06,642.4,1584.76,1402.96,553.42,2388.08,9066.84,47.51,521.36,2388.06,8143.88,8.4485,393,38.88,23.2976
2000-06-09 00:00:06,642.52,1586.2,1405.4,553.74,2388.05,9063.49,47.18,521.7,2388.05,8143.93,8.4342,393,39.04,23.3952
2000-06-10 00:00:06,642.53,1587.35,1406.24,553.74,2388.02,9067.62,47.33,521.76,2388.1,8144.24,8.4444,394,38.95,23.4668
2000-06-11 00:00:06,642.49,1592.18,1401.25,553.47,2388.01,9057.98,47.44,522.32,2388.05,8137.28,8.4575,392,38.9,23.2879
2000-06-12 00:00:06,642.61,1594.87,1402.48,553.76,2388.09,9059.91,47.33,522.11,2388.09,8138.95,8.4355,393,38.96,23.4236
2000-06-13 00:00:06,642.7,1596.19,1398.8,554.14,2388.11,9065.86,47.54,521.08,2388.05,8140.03,8.3876,392,38.74,23.3745
2000-06-14 00:00:06,642.07,1589.78,1413.23,554.09,2388.1,9057.43,47.33,521.92,2388.11,8139.92,8.4409,392,38.94,23.3899
2000-06-15 00:00:06,642.39,1588.07,1396.38,553.79,2387.99,9061.88,47.41,521.26,2388.05,8142.42,8.4547,394,38.87,23.2438
